,categorization,x,comments
46,1,Quantitating the multiplicity of infection with human immunodeficiency virus type 1 subtype C reveals a non poisson distribution of transmitted variants,
47,1,A meta analysis and overview of the literature on treatment options for left sided ulcerative colitis and ulcerative proctitis,
48,1,Phenotypic plasticity in two marine snails  constraints superseding life history,
49,1,One loop supergravity corrections to black hole entropy and residual supersymmetry,
50,1,Effect of expedited treatment of sex partners on recurrent or persistent gonorrhea or chlamydial infection,
51,1,Exercise capacity and the risk of death in women the St James Women Take Heart Project,
52,1,Motivating factors for physician ordering of factor V Leiden genetic tests,
53,1,Do the SF 36 and WHOQOL BREF measure the same constructs  Evidence from the Taiwan population ,
54,1,Assistive devices in context  Cross sectional association between challenges in the home environment and use of assistive devices for mobility,
55,1,Glycosides from roots of Cyathula officinalis Kuan,
56,1,Peer assessment enhances student learning,
57,1,Neural specific Sox2 input and differential Gli binding affinity provide context and positional information in Shh directed neural patterning,
58,NA,TV PRODUCER  NEWS COUNCIL SPAR,no clue
59,1,Adjudicated morbidity and mortality outcomes by age among individuals with HIV infection on suppressive antiretroviral therapy,
60,0,Correspondence analysis is a useful tool to uncover the relationships among categorical variables,
61,1,The faunal study on the butterflies of the south slope of Qinling Mountains,
62,1,Relationship between cardiovascular disease morbidity  risk factors  and stress in a law enforcement cohort,
63,1,Monthly strontium calcium oscillations in symbiotic coral aragonite  biological effects limiting the precision of the paleotemperature proxy,
64,1,Topographically divergent and convergent connectivity between premotor and primary motor cortex,
65,1,Long Term Validation of Inferential Blood Glucose Model Developed from Real Subject In Free Living Study Using Noninvasive Inputs,
66,1,Dynamics of family economic hardship and the progression of health problems of husbands and wives during the middle years  A perspective from rural Mid West,
67,1,Familial aggregation of dyslexia phenotypes  II  Paired correlated measures,
68,1,Case control association testing in the presence of unknown relationships,
69,1,Reducing racial disparities in transplant activation  whom should we target ,
70,1,Temporal and spatial variation of the human microbiota during pregnancy,
71,1,Field failure and warranty prediction based on auxiliary use rate information,
72,1,Rates of symptom reporting following traumatic brain injury,
73,1,The effect of parental immigration authorization on health insurance coverage for migrant Latino children,
74,1,Graciela Bevacqua,
75,1,Common genetic loci influencing plasma homocysteine concentrations and their effect on risk of coronary artery disease,
76,0,The spectral theory of tensors and its applications,
77,1,Donor selection for natural killer cell receptor genes leads to superior survival after unrelated transplantation for acute myelogenous leukemia,
78,1,Early childhood caries and risk factors in rural Puerto Rican children ,
79,NA,GoSurfer,no clue
80,1,Fine particulate air pollution and hospital admission for cardiovascular and respiratory diseases,
81,NA,Support vector machines,book
82,1,Androidal fat dominates in predicting cardiometabolic risk in postmenopausal women,
83,0,Ballgown bridges the gap between transcriptome assembly and expression analysis,
84,1,Nationhood at the Margin  Identity  Regionality and the English Crown in the Seventeenth Century,
85,1,Projecting the number of patients with end stage renal disease in the United States to the year 2015,
86,1,Risk factors associated with the incidence and progression of mitral annulus calcification  the multi ethnic study of atherosclerosis,
87,1,Naive and memory CD4  T cell survival controlled by clonal abundance,
88,1,Natural variation of the expression pattern of the segmentation gene even skipped in melanogaster,
89,1,Characterizing daily urinary hormone profiles for women at midlife using functional data analysis,
90,1,Epidemiological benefits of more effective tuberculosis vaccines  drugs  and diagnostics,
91,1,Effects of respiratory and non respiratory factors on disability among older adults with airway obstruction  the Cardiovascular Health Study,
92,1,Relation of mitral annular calcium and coronary calcium  from the Multi Ethnic Study of Atherosclerosis  MESA  ,
93,0,Highly accurate two gene classifier for differentiating gastrointestinal stromal tumors and leiomyosarcomas,
94,1,Squared polynomial extrapolation methods with cycling  an application to the positron emission tomography problem,
95,1,A novel mutation in KCNA1 causes episodic ataxia without myokymia,
96,1,Efficacy and safety of enzyme replacement therapy with BMN 110  elosulfase alfa  for Morquio A syndrome  mucopolysaccharidosis IVA   a phase 3 randomised  ,
97,1,The inorganic nutrient cost of building soil carbon,
98,0,Exposure measurement error in time series studies of air pollution  concepts and consequences ,
99,1,Measuring outcome in traumatic brain injury treatment trials  recommendations from the traumatic brain injury clinical trials network,
100,1,Intraspecific sexual size and shape dimorphism in an Australian freshwater fish differs with respect to a biogeographic barrier and latitude,
,0.88172043,,
