"","x"
"77","Evaluation of microarray based DNA methylation measurement using technical replicates  the Atherosclerosis Risk In Communities  ARIC  Study"
"78","Health Related and Psychosocial Concerns about Transplantation among Patients Initiating Dialysis"
"79","Bayesian Modeling for Physical Processes in Industrial Hygiene Using Misaligned Workplace Data"
"80","Human papillomavirus  HPV  type 16 and type 18 DNA loads at baseline and persistence of type specific infection during a 2 year follow up"
"81","Magnesium sulfate for neuroprotection after traumatic brain injury  a randomised controlled trial"
"82","Reply"
"83","Modern statistical estimation via oracle inequalities"
"84","Detecting cracks in aircraft engine fan blades using vibrothermography nondestructive evaluation"
"85","Successful adoptive transfer and in vivo expansion of human haploidentical NK cells in patients with cancer"
"86","Treatment effects of maternal micronutrient supplementation vary by percentiles of the birth weight distribution in rural Nepal"
"87","Biomarkers of kidney integrity in children and adolescents with dental amalgam mercury exposure  findings from the Casa Pia children s amalgam trial"
"88","Fast and accurate genotype imputation in genome wide association studies through pre phasing"
"89","Towards automatic quantitative quality control for MRI"
"90","Allopurinol and mortality in hyperuricaemic patients"
"91","Dissecting inflammatory complications in critically injured patients by within patient gene expression changes  a longitudinal clinical genomics study"
"92","Detecting signals in pharmacogenomic genome wide association studies"
"93","Effects of cigarette reduction on cardiovascular risk factors and subjective measures"
"94","Fragility of reconstructed temperature patterns over the Common Era  Implications for model evaluation"
"95","Lengths of stay and costs associated with children s hospitals"
"96","Package gam"
"97","Adherence to the WCRF AICR cancer prevention recommendations and cancer specific mortality  results from the Vitamins and Lifestyle  VITAL  Study"
"98","ATRIUM  testing untyped SNPs in case control association studies with related individuals"
"99","Humidity and gravimetric equivalency adjustments for nephelometer based particulate matter measurements of emissions from solid biomass fuel use in cookstoves"
"100","Associations of classic Kaposi sarcoma with common variants in genes that modulate host immunity"
