"Last" "First" "School" "Type"
"77" "Zhang" "Lin" "University of Minnesota" "Biostatistics"
"78" "candes" "emmanuel j" "Stanford" "Statistics"
"79" "chatterjee" "sourav" "Stanford" "Statistics"
"80" "dembo" "amir" "Stanford" "Statistics"
"81" "diaconis" "persi" "Stanford" "Statistics"
"82" "donoho" "david" "Stanford" "Statistics"
"83" "efron" "bradley" "Stanford" "Statistics"
"84" "hastie" "trevor j" "Stanford" "Statistics"
"85" "holmes" "susan" "Stanford" "Statistics"
"86" "johnstone" "iain" "Stanford" "Statistics"
"87" "lai" "tze leung" "Stanford" "Statistics"
"88" "montanari" "andrea" "Stanford" "Statistics"
"89" "owen" "art b" "Stanford" "Statistics"
"90" "romano" "joseph p" "Stanford" "Statistics"
"91" "siegmund" "david o" "Stanford" "Statistics"
"92" "taylor" "jonathan" "Stanford" "Statistics"
"93" "tibshirani" "robert" "Stanford" "Statistics"
"94" "walther" "guenther" "Stanford" "Statistics"
"95" "wong" "wing hung" "Stanford" "Statistics"
"96" "sabatti" "chiara" "Stanford" "Statistics"
"97" "duchi" "john" "Stanford" "Statistics"
"98" "mackey" "lester" "Stanford" "Statistics"
"99" "rajaratnam" "bala" "Stanford" "Statistics"
"100" "ADAMS" "Dean" "University of Iowa" "Statistics"
"101" "BERG" "Emily" "University of Iowa" "Statistics"
"102" "CARAGEA" "Petrutza" "University of Iowa" "Statistics"
"103" "CARRIQUIRY" "Alicia" "University of Iowa" "Statistics"
"104" "CHEN" "Song Xi" "University of Iowa" "Statistics"
"105" "CHYZH" "Olga" "University of Iowa" "Statistics"
"106" "COOK" "Dianne" "University of Iowa" "Statistics"
"107" "DE BRABANTER" "Kris" "University of Iowa" "Statistics"
"108" "DIXON" "Philip" "University of Iowa" "Statistics"
"109" "DORMAN" "Karin" "University of Iowa" "Statistics"
"110" "DUTTA" "Somak" "University of Iowa" "Statistics"
"111" "FROELICH" "Amy" "University of Iowa" "Statistics"
"112" "GENSCHEL" "Ulrike" "University of Iowa" "Statistics"
"113" "GHOSH" "Arka" "University of Iowa" "Statistics"
"114" "HE" "Zhulin" "University of Iowa" "Statistics"
"115" "HOFMANN" "Heike" "University of Iowa" "Statistics"
"116" "KAISER" "Mark" "University of Iowa" "Statistics"
"117" "KIM" "Jae-kwang" "University of Iowa" "Statistics"
"118" "KOEHLER" "Kenneth J." "University of Iowa" "Statistics"
"119" "LI" "Yehua" "University of Iowa" "Statistics"
"120" "LIU" "Peng" "University of Iowa" "Statistics"
"121" "LORENZ" "Frederick" "University of Iowa" "Statistics"
"122" "MAITRA" "Ranjan" "University of Iowa" "Statistics"
"123" "MARASINGHE" "Mervyn G." "University of Iowa" "Statistics"
"124" "MEEKER" "William Q." "University of Iowa" "Statistics"
"125" "MORRIS" "Max" "University of Iowa" "Statistics"
"126" "NETTLETON" "Dan" "University of Iowa" "Statistics"
"127" "NIEMI" "Jarad" "University of Iowa" "Statistics"
"128" "NORDMAN" "Dan" "University of Iowa" "Statistics"
"129" "NUSSER" "Sarah M." "University of Iowa" "Statistics"
"130" "ROLLINS" "Derrick K." "University of Iowa" "Statistics"
"131" "ROY" "Vivekananda" "University of Iowa" "Statistics"
"132" "SABZIKAR" "Farzad" "University of Iowa" "Statistics"
"133" "SHELLEY" "Mack" "University of Iowa" "Statistics"
"134" "SHERMAN" "Peter" "University of Iowa" "Statistics"
"135" "STEPHENSON" "W. Robert" "University of Iowa" "Statistics"
"136" "VARDEMAN" "Stephen" "University of Iowa" "Statistics"
"137" "WANG" "Chong" "University of Iowa" "Statistics"
"138" "WANG" "Lily" "University of Iowa" "Statistics"
"139" "WONG" "Raymond" "University of Iowa" "Statistics"
"140" "WU" "Huaiqing" "University of Iowa" "Statistics"
"141" "YU" "Cindy" "University of Iowa" "Statistics"
"142" "ZHU" "Zhengyuan" "University of Iowa" "Statistics"
"143" "Amit" "Yali" "University of Chicago" "Statistics"
"144" "Anitescu" "Mihai" "University of Chicago" "Statistics"
"145" "Au" "Loretta" "University of Chicago" "Statistics"
"146" "Berger" "James" "University of Chicago" "Statistics"
"147" "Brunel" "Nicolas" "University of Chicago" "Statistics"
"148" "Burbank" "Kendra" "University of Chicago" "Statistics"
"149" "Collins" " Linda Brant " "University of Chicago" "Statistics"
"150" "Ding" "Jian" "University of Chicago" "Statistics"
"151" "Barber" "Rina Foygel" "University of Chicago" "Statistics"
"152" "Hansen" "Lars Peter" "University of Chicago" "Statistics"
"153" "Huang" "Yibi" "University of Chicago" "Statistics"
"154" "Ke" "Zheng" "University of Chicago" "Statistics"
"155" "Lafferty" "John" "University of Chicago" "Statistics"
"156" "Lalley" "Steven" "University of Chicago" "Statistics"
"157" "Lawler" "Gregory" "University of Chicago" "Statistics"
"158" "Lim" "Lek-Heng" "University of Chicago" "Statistics"
"159" "McCullagh" "Peter" "University of Chicago" "Statistics"
"160" "McPeek" "Mary Sara" "University of Chicago" "Statistics"
"161" "Mykland" "Per A." "University of Chicago" "Statistics"
"162" "Nicolae" "Dan" "University of Chicago" "Statistics"
"163" "Reinitz" "John" "University of Chicago" "Statistics"
"164" "Stein" "Michael" "University of Chicago" "Statistics"
"165" "Stephens" "Matthew" "University of Chicago" "Statistics"
"166" "Stigler" "Stephen" "University of Chicago" "Statistics"
"167" "Thisted" "Ronald" "University of Chicago" "Statistics"
"168" "Wang" "Mei" "University of Chicago" "Statistics"
"169" "Weare" "Jonathan" "University of Chicago" "Statistics"
"170" "Wichura" "Michael" "University of Chicago" "Statistics"
"171" "Wolter" "Kirk" "University of Chicago" "Statistics"
"172" "Wu" "Wei Biao" "University of Chicago" "Statistics"
